Word,Part_of_Speech,Audio,Photos
biblioteca,noun,biblioteca.ogg,library-stuttgart-city.jpg
luz,noun,luz.ogg,lamp-light.jpg
labio,noun,labio.ogg,lips.jpg
cierre,noun,cierre.ogg,padlock-metal.svg
almuerzo,noun,almuerzo.ogg,restaurant-people-men-women-eating.jpg
revista,noun,revista.ogg,magazine-open.jpg
hombre,noun,hombre.ogg,people-portrait-man-male.jpg
gerente,noun,gerente.ogg,man-businessmen.jpg
mapa,noun,mapa.ogg,map-berlin.jpg
mercado,noun,mercado.ogg,afghanistan-town-city.jpg
matrimonio,noun,matrimonio.ogg,marriage-couple-park.jpg
medicina,noun,medicina.ogg,pill-capsule-medicine.jpg
metal,noun,metal.ogg,iron-rods-reinforcing-bars.jpg
leche,noun,leche.ogg,milk-glass.jpg
dinero,noun,dinero.ogg,coins-banknotes-money.jpg
mes,noun,mes.ogg,calender-icon-pictogram.png
mañana,noun,manxana.ogg,"morning-bedroom-bed-door-girl.jpg, breakfast.jpg"
madre,noun,madre.ogg,mother-baby-happy-smiling.jpg
montaña,noun,montanxa.ogg,ama-dablam-himalaya-mountain.jpg
ratón,noun,raton.ogg,mouse.jpg
boca,noun,boca.ogg,mouth-smile-teeth.jpg
película,noun,pelicula.ogg,bollywood-movie-cinema.jpg
asesino,noun,asesino.ogg,potatoes-ketchup-murder.jpg
música,noun,musica.ogg,cd-music-audio-notes.png
naturaleza,noun,naturaleza.ogg,yellowstone-national-park.jpg
cuello,noun,cuello.ogg,neck-woman.jpg
aguja,noun,aguja.ogg,needle.png
vecino,noun,vecino.ogg,man-face-grim-evil-neighbor-fence.jpg
red,noun,red.ogg,network-mobile-communication.jpg
periódico,noun,periodico.ogg,old-newspaper.jpg
noche,noun,noche.ogg,night-town.jpg
norte,noun,norte.ogg,"compass-gold.png, arrow-black-directions.svg"
nariz,noun,nariz.ogg,nose-hairs.jpg
nota,noun,nota.ogg,post-it-notes.jpg
número,noun,numero.ogg,digit-number.jpg
océano,noun,ocexano.ogg,waves-dawn-ocean.jpg
oficina,noun,oficina.ogg,office-space.jpg
aceite,noun,aceite.ogg,olive-oil.jpg
naranja,noun,naranja.ogg,orange.jpg
página,noun,pagina.ogg,page.png
dolor,noun,dolor.ogg,backpain-back-pain.png
pintura,noun,pintura.ogg,paint-art-paintbox.jpg
pantalones,noun,pantalones.ogg,jeans-pants.png
papel,noun,papel.ogg,paper-parchment-roll.png
parque,noun,parque.ogg,city-park.jpg
paciente,noun,paciente.ogg,doctor-patient-hospital-child.jpg
patrón,noun,patron.ogg,pattern-indian-cute.png
paz,noun,paz.ogg,decorative-peace-sign.png
pluma,noun,pluma.ogg,fountain-pen.jpg
lápiz,noun,lapiz.ogg,pencil-green.png
persona,noun,persona.ogg,person-icon.png
gente,noun,gente.ogg,people-icon.png
fotografía,noun,fotografia.ogg,old-photos.jpg
pieza,noun,pieza.ogg,"piece-of-cheese.png, piece-of-cake.jpg, puzzle-piece.png"
cerdo,noun,cerdo.ogg,pig-cartoon.png
avion,noun,avion.ogg,airplane-aircraft-commercial.jpg
planta,noun,planta.ogg,green-plant-in-pot.png
plástico,noun,plastico.ogg,eco-friendly-plastic-star.jpg
plato,noun,plato.ogg,porcelain-plate.jpg
jugador,noun,jugador.ogg,american-football-player.jpg
bolsillo,noun,bolsillo.ogg,jeans-pocket.jpg
veneno,noun,veneno.ogg,poison.jgp
policía,noun,policia.ogg,cop-policewoman-colleagues.jpg
piscina,noun,piscina.ogg,swimming-pool-water.jpg
cerdo,noun,cerdo.ogg,pork-cuts.png
presidente,noun,presidente.ogg,monument-president-landmark.jpg
precio,noun,precio.ogg,gasoline-prices-petrol.jpg
cura,noun,cura.ogg,pastor-priest-christian-cartoon.png
cárcel,noun,carcel.ogg,prison-cell-slammer.jpg
reina,noun,reina.ogg,"queen-royalty-crown.png, chess-piece-queen.png, queen-elizabeth-i-england.jpg"
carrera,noun,carrera.ogg,relay-race-competition.jpg
radio,noun,radio.ogg,old-radio-electronic-antique.png
lluvia,noun,lluvia.ogg,cloud-weather-rain-rainfall.png
reportero,noun,reportero.ogg,woman-talk-live-reporter.png
restaurante,noun,restaurante.ogg,restaurant-people-eating.jpg
arroz,noun,arroz.ogg,rice.jpg
