Word,Part_of_Speech,Audio,Photos
chair,noun,,chair-furniture-seat.png
cheese,noun,,cheese.jpg
chicken,noun,,"chicken-poultry.jpg, fried-chicken.jpg"
child,noun,,"boy-red-hair-freckles-portrait.jpg, child-portrait-girl.jpg"
church,noun,,church-snow-winter.jpg
circle,noun,,circle-color.png
city,noun,,new-york-city-skyline.jpg
clay,noun,,"pottery-handmade-cup.jpg, clay-hands-sculpting-art.jpg"
clock,noun,,alarm-clock.jpg
clothing,noun,,store-clothing.jpg
club,noun,,"dance-party-disco.jpg, golf-club.jpg, club-weapon.svg"
coat,noun,,coat-clothing-long.svg
coffee,noun,,coffee-cup-beans.jpg
colour,noun,,beaded-colour-pencils.jpg
computer,noun,,computer-desktop-workstation.svg
contract,noun,,business-signature-contract.jpg
copper,noun,,copper-cookware.jpg
corn,noun,,corn.jpg
corner,noun,,"wall-corner.svg, football-corner.jpg"
country,noun,,"europe-map-country.jpg, canada-national-flag.jpg"
court,noun,,"supreme-court-building-court.jpg, gavel-law.jpg"
cow,noun,,cow.jpg
crowd ,noun,,city-crowd.jpg
cup,noun,,tea-cup.jpg
date,noun,,calendar-date.jpg
daughter,noun,,father-daughter-smile.jpg
day,noun,,"day-blue-sky.jpg, day-of-week.png"
death,noun,,man-skull-death.jpg
diamond,noun,,diamond.jpg
dinner,noun,,dinner-table.jpg
disease,noun,,"virus-infection-cell-bacterium.jpg, sad-sick.svg"
doctor,noun,,doctor-gray-hair.jpg
dog,noun,,dog-beach-pet-black.jpg
door,noun,,door.jpg
dot,noun,,"dot.png, background-bow-color-dot.jpg"
dress,noun,,dress.svg
drug,noun,,"syringe-pill-capsule-morphine.jpg, seedling-cannabis-marijuana.jpg"
dust,noun,,"horse-herd-dust.jpg, construction-worker-saw-concrete-dust.jpg"
ear,noun,,ear.jpg
earth,noun,,"planet-earth.jpg, onion-arable-field-earth.jpg"
East,noun,,"compass-gold.png, arrow-right-direction-east.svg"
edge,noun,,edge-height-depth.jpg
egg,noun,,egg.svg
energy,noun,,"flash-thunderstorm.jpg, wind-farm-wind-energy.jpg"
engine,noun,,restored-air-cool-engine.jpg
evening,noun,,dult-mother-daughter-beach.jpg
exercise,noun,,gym-room-fitness-equipment.jpg
eye,noun,,blue-eye-iris-pupil.jpg
face,noun,,woman-portrait-face-skin-make-up.jpg
fall,noun,,"forest-season-autumn-fall.jpg, season-winter-spring-summer-fall.png"
family,noun,,family-kids-baby-newborn-together.jpg
fan,noun,,sport-ice-hockey-fan.jpg
fan,noun,,appliance-cool-electric-fan.svg
farm,noun,,wisconsin-farm-country-rural.jpg
father,noun,,people-father-daughter-smile-happy.jpg
finger,noun,,hand-finger.png
fire,noun,,wood-fire-flame-burn.jpg
fish,noun,,discus-fish-fauna.jpg
floor,noun,,floor-wood-hardwood.jpg
flower,noun,,flower-nature-flora-petal.jpg
food,noun,,healthy-food.jpg
foot,noun,,foot-baby.jpg
forest,noun,,green-park-season-nature.jpg
fork,noun,,fork-eat-metal.jpg
friend,noun,,girls-lying-classic-car-young.jpg
game,noun,,board-game.jpg
garden,noun,,garden-flower.jpg
gasoline,noun,,petrol-stations-gasoline.jpg
gift,noun,,present-package-gift.jpg
girl,noun,,little-girl-child-portrait.jpg
glass,noun,,glass-drink-water.jpg
God,noun,,"poseidon-sea.jpg, fantasy-light.jpg"
ice cream,noun,,"ice_cream_1, ice_cream_2"
gold,noun,,gold-ingots.jpg
grandfather,noun,,grandfather-granddaughter.jpg
grandmother,noun,,grandma-granny.png
grass,noun,,ew-morning-meadow-grass.jpg
ground,noun,,ground-cobblestone-manhole.jpg
gun,noun,,handgun-weapon.svg
hair,noun,,beautiful-woman-hair-blond.jpg
hand,noun,,hand-photography-palm.jpg
hat,noun,,sun-hat.jpg
head,noun,,actress-beauty-face-girl-head.svg
heart,noun,,heart-love-red.svg
heat,noun,,firewood-fire.jpg
heaven,noun,,clouds-landscape-beyond-sky.jpg
hell,noun,,hell-demons-devil.jpg
hill,noun,,tree-grass-landscape-panorama.jpg
hole,noun,,hole-sinkhole.jpg
home,noun,,house-cottage-residence.png
horse,noun,,horse-mold-thoroughbred.jpg
hospital,noun,,hospital_Japan.jpg
hotel,noun,,"hotel-pool-evening.jpg, hotelroom.jpg"
hour,noun,,clock-analog-time-watch.svg
house,noun,,architecture-family-house.jpg
human,noun,,first-human.jpg
husband,noun,,couple-man-woman-relationship.svg
ice,noun,,ice.jpg
image,noun,,"mona-lisa-painting-art.jpg, smartphone-face-woman-eyes.jpg"
injury,noun,,kermit-injured-patch.jpg
idea,noun,,think-thinking-hand-reflect-idea.png
instrument,noun,,guitar-violin-bow.svg
island,noun,,island.jpg
juice,noun,,orange-juice.jpg
key,noun,,key.jpg
king,noun,,king-crown-beard.svg
kitchen,noun,,kitchen-real-estate-interior-design.jpg
knee,noun,,knee.jpg
knife,noun,,knife-kitchen-sharp.svg
lake,noun,,lake-irene-colorado-water.jpg
lamp,noun,,table-lamp.png
laptop,noun,,mac-freelancer-laptop.jpg
lawyer,noun,,lawyer-attorney.svg
leaf,noun,,leaf-autumn-maple.jpg
leg,noun,,leg-long.jpg
lemon,noun,,lemon.jpg
mango,noun,,mango-fruit.png
letter,noun,,letter-love-mail.svg
library,noun,,library-stuttgart-city.jpg
light,noun,,lamp-light.jpg
lip,noun,,lips.jpg
lock,noun,,padlock-metal.svg
lunch,noun,,restaurant-people-men-women-eating.jpg
magazine,noun,,magazine-open.jpg
man ,noun,,people-portrait-man-male.jpg
manager,noun,,man-businessmen.jpg
map,noun,,map-berlin.jpg
market,noun,,afghanistan-town-city.jpg
marriage,noun,,marriage-couple-park.jpg
medicine,noun,,pill-capsule-medicine.jpg
metal,noun,,iron-rods-reinforcing-bars.jpg
milk,noun,,milk-glass.jpg
money,noun,,coins-banknotes-money.jpg
month,noun,,calender-icon-pictogram.png
morning,noun,,"morning-bedroom-bed-door-girl.jpg, breakfast.jpg"
mother,noun,,mother-baby-happy-smiling.jpg
mountain,noun,,ama-dablam-himalaya-mountain.jpg
mouse,noun,,mouse.jpg
mouth,noun,,mouth-smile-teeth.jpg
